Date;Total
01/01/1996;41972194
01/02/1996;42054796
01/03/1996;50443045
01/04/1996;47112397
01/05/1996;49118248
01/06/1996;52880510
01/07/1996;55664750
01/08/1996;57723208
01/09/1996;47035464
01/10/1996;49263120
01/11/1996;43937074
01/12/1996;48539606
01/01/1997;45850623
01/02/1997;42838949
01/03/1997;53620994
01/04/1997;49282817
01/05/1997;51191842
01/06/1997;54707221
01/07/1997;57995025
01/08/1997;59715433
01/09/1997;49418190
01/10/1997;51058879
01/11/1997;47056048
01/12/1997;49654209
01/01/1998;46514139
01/02/1998;43769273
01/03/1998;53361926
01/04/1998;51968040
01/05/1998;53515798
01/06/1998;56459994
01/07/1998;59939170
01/08/1998;59926709
01/09/1998;48751280
01/10/1998;52578217
01/11/1998;48734375
01/12/1998;50208641
01/01/1999;47988560
01/02/1999;45241211
01/03/1999;56555731
01/04/1999;53920855
01/05/1999;54674958
01/06/1999;59213000
01/07/1999;63572248
01/08/1999;63003663
01/09/1999;53131972
01/10/1999;56653901
01/11/1999;53215500
01/12/1999;51746821
01/01/2000;49045412
01/02/2000;49306303
01/03/2000;60443541
01/04/2000;58286680
01/05/2000;60533783
01/06/2000;64903295
01/07/2000;67346377
01/08/2000;66256804
01/09/2000;55900504
01/10/2000;58373996
01/11/2000;55590325
01/12/2000;54822970
01/01/2001;52634354
01/02/2001;49532578
01/03/2001;61575055
01/04/2001;59151645
01/05/2001;59662416
01/06/2001;64353323
01/07/2001;67965241
01/08/2001;68376612
01/09/2001;38601717
01/10/2001;43964770
01/11/2001;44915764
01/12/2001;47819118
01/01/2002;46224031
01/02/2002;44604154
01/03/2002;56897722
01/04/2002;52542164
01/05/2002;55116060
01/06/2002;59745334
01/07/2002;62664504
01/08/2002;62944802
01/09/2002;49096033
01/10/2002;54019748
01/11/2002;50105232
01/12/2002;56656594
01/01/2003;51197175
01/02/2003;47040806
01/03/2003;56765848
01/04/2003;51857179
01/05/2003;54335598
01/06/2003;60272900
01/07/2003;65962215
01/08/2003;64989766
01/09/2003;52121480
01/10/2003;56724442
01/11/2003;54128776
01/12/2003;58739845
01/01/2004;53979780
01/02/2004;53179685
01/03/2004;64035863
01/04/2004;62340117
01/05/2004;62530704
01/06/2004;68866389
01/07/2004;73335888
01/08/2004;70961513
01/09/2004;57881031
01/10/2004;63021122
01/11/2004;59453941
01/12/2004;62680310
01/01/2005;59629608
01/02/2005;55795165
01/03/2005;70595861
01/04/2005;65145550
01/05/2005;68268899
01/06/2005;72952958
01/07/2005;77432998
01/08/2005;73778917
01/09/2005;62046797
01/10/2005;63640895
01/11/2005;61518984
01/12/2005;64289340
01/01/2006;61035027
01/02/2006;56729212
01/03/2006;70799794
01/04/2006;68120558
01/05/2006;69352605
01/06/2006;74085927
01/07/2006;77798585
01/08/2006;74227040
01/09/2006;62345732
01/10/2006;66082158
01/11/2006;63548729
01/12/2006;65980779
01/01/2007;63016013
01/02/2007;57793832
01/03/2007;72700241
01/04/2007;69836156
01/05/2007;71933109
01/06/2007;76926452
01/07/2007;80988340
01/08/2007;79439827
01/09/2007;65913298
01/10/2007;69445349
01/11/2007;66250428
01/12/2007;67782533
01/01/2008;64667106
01/02/2008;61504426
01/03/2008;74575531
01/04/2008;68906881
01/05/2008;72725749
01/06/2008;76162104
01/07/2008;79707545
01/08/2008;77300567
01/09/2008;61198749
01/10/2008;65018204
01/11/2008;58512623
01/12/2008;63503416
01/01/2009;58373783
01/02/2009;53506580
01/03/2009;66027341
01/04/2009;65166298
01/05/2009;65868253
01/06/2009;71350226
01/07/2009;77136797
01/08/2009;74614770
01/09/2009;61435354
01/10/2009;64274739
01/11/2009;59011015
01/12/2009;63231672
01/01/2010;59651061
01/02/2010;53240065
01/03/2010;68307089
01/04/2010;64953249
01/05/2010;68850904
01/06/2010;74474550
01/07/2010;79304441
01/08/2010;76741308
01/09/2010;65341294
01/10/2010;69071625
01/11/2010;63334290
01/12/2010;65797939
01/01/2011;61630362
01/02/2011;55391206
01/03/2011;70158268
01/04/2011;67683558
01/05/2011;71711447
01/06/2011;76057910
01/07/2011;81423230
01/08/2011;77247893
01/09/2011;66345317
01/10/2011;68177878
01/11/2011;63492941
01/12/2011;66595642
01/01/2012;61940192
01/02/2012;58243794
01/03/2012;71696202
01/04/2012;68668302
01/05/2012;71887531
01/06/2012;76760758
01/07/2012;80499331
01/08/2012;78609006
01/09/2012;66007760
01/10/2012;67677764
01/11/2012;64039209
01/12/2012;66702988
01/01/2013;63139218
01/02/2013;58109870
01/03/2013;72764478
01/04/2013;68453537
01/05/2013;73574534
01/06/2013;78467131
01/07/2013;81974582
01/08/2013;80007788
01/09/2013;67203059
01/10/2013;69727370
01/11/2013;63611195
01/12/2013;70967038
01/01/2014;64743622
01/02/2014;58474895
01/03/2014;74237172
01/04/2014;71278693
01/05/2014;75712694
01/06/2014;80063355
01/07/2014;84404541
01/08/2014;81957728
01/09/2014;69028856
01/10/2014;71699565
01/11/2014;65654206
01/12/2014;72233643
01/01/2015;66412065
