"speed" "dist"
"1" 0,8 0,4
"2" 0,8 2
"3" 1,4 0,8
"4" 1,4 4,4
"5" 1,6 3,2
"6" 1,8 2
"7" 2 3,6
"8" 2 5,2
"9" 2 6,8
"10" 2,2 3,4
"11" 2,2 5,6
"12" 2,4 2,8
"13" 2,4 4
"14" 2,4 4,8
"15" 2,4 5,6
"16" 2,6 5,2
"17" 2,6 6,8
"18" 2,6 6,8
"19" 2,6 9,2
"20" 2,8 5,2
"21" 2,8 7,2
"22" 2,8 12
"23" 2,8 16
"24" 3 4
"25" 3 5,2
"26" 3 10,8
"27" 3,2 6,4
"28" 3,2 8
"29" 3,4 6,4
"30" 3,4 8
"31" 3,4 10
"32" 3,6 8,4
"33" 3,6 11,2
"34" 3,6 15,2
"35" 3,6 16,8
"36" 3,8 7,2
"37" 3,8 9,2
"38" 3,8 13,6
"39" 4 6,4
"40" 4 9,6
"41" 4 10,4
"42" 4 11,2
"43" 4 12,8
"44" 4,4 13,2
"45" 4,6 10,8
"46" 4,8 14
"47" 4,8 18,4
"48" 4,8 18,6
"49" 4,8 24
"50" 5 17
